ID LOCAL ;DESCRIÇÃO LOCAL;RAZÃO SOCIAL LOCAL;ATIVO LOCAL;CÓDIGO DO LOCAL NO UMOV.ME;PAÍS;ESTADO;CIDADE;BAIRRO;TIPO LOGRADOURO;LOGRADOURO;NÚMERO LOGRADOURO;COMPLEMENTO LOGRADOURO;CEP;DDI TELEFONE CELULAR;DDD TELEFONE CELULAR;NÚMERO TELEFONE CELULAR;DDI TELEFONE FIXO;DDD TELEFONE FIXO;NUMERO TELEFONE FIXO;E-MAIL;OBSERVAÇÃO;CNPJ;Inscrição estadual;Vendedor;AVISO;Loja Numero;Regiao;Segunda-Feira;Terça-Feira;Quarta-Feira;Quinta-Feira;Sexta-Feira;Sábado;TT;Rota;Montado;Lider;Telefone Lider;Promotor;Telefone Promotor;Mix
C001997;RAIMUNDA PINHEIRO BIANCHI - ME (C001997);PADRAO;1;269926136;Brasil;SP;TAUBATE;BOSQUE DA SAUDE;AVENIDA;SAO PEDRO;;1.969;12082-010;55;;;55;;;supermercadoitaim@outlook.com;;;;;;;;;;;;;;;;;;;;;
C001813;COMPRE MAIS AUTO SERVICO LTDA (C001813);REDE ECONOMIA;1;269926137;Brasil;RJ;SAO GONCALO;VISTA ALEGRE;AVENIDA;PRESIDENTE ROOSEVELT;;1460;24722-070;55;;;55;;;kelly.fortes@supermercadoscompremais.com.br;;;;;;;;;;;;;;;;;;;;;
C001985;ATACADO DE CARNE DOM BOSCO LTDA - ME (C001985);PADRAO;1;269926138;Brasil;SP;PIQUETE;VILA CELESTE;AVENIDA;MAJOR PEDRO;;220;12620-000;55;;;55;;;dombosco1960@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C002782;MERCADINHO E PADARIA DUTI FILHOS LTDA (C002782);PADRAO;1;269926141;Brasil;SP;APARECIDA;PONTE ALTA;RUA;LAURINDO DE CASTRO;;86;12570-000;55;;;55;;;SUPERDUTI@TERRA.COM.BR;;;;;;;;;;;;;;;;;;;;;
C000583;SUPERMERCADO JOTA PE LTDA  EPP (C000583);PADRAO;1;269926143;Brasil;SP;ITATIBA;VILA CENTENARIO;RUA;JOAO PELLIZZER;;134;13253-330;55;;;55;;;-;;;;;;;;;;;;;;;;;;;;;
C001768;YPE SUPERMERCADOS - MOGI GUACU LTDA (C001768);PADRAO;1;269926145;Brasil;SP;MOGI-GUACU;JD IPE III;RUA;UNIAO DA VITORIA;;21;13.846-120;55;;;55;;;xml@supermercadosype.com.br;;;;;;;;;;;;;;;;;;;;;
C002409;MERCADINHO STS LTDA (C002409);PADRAO;1;269926139;Brasil;SP;SAO PAULO;JD. SAO JUDAS TADEU;RUA;COMEMDADOR ANTUNES DOS SANTOS;;1346;05861-260;55;;;55;;;centraltanaka1@gmail.com;;;;;;;;;;;;;;;;;;;;;
C002494;LUCIA HELENA DE OLIVEIRA 18198800875 (C002494);PADRAO;1;269926140;Brasil;SP;CAMPINAS;JARDIM MONTE CRISTO/PARQUE OZIEL;RUA;JOAO CANAES;;16B;13049-040;55;;;55;;;beneditomira824@gmail.com;;;;;;;;;;;;;;;;;;;;;
C002316;MERCADO SAO JOSE PADARIA HORT FRUT LTDA - ME (C002316);PADRAO;1;269926146;Brasil;SP;SAO JOSE DOS CAMPOS;VL TATETUB;AV;PRES JUSCELINO KUBIS;;6790;12220-000;55;;;55;;;thalesaugustofogaca@bol.com.br;;;;;;;;;;;;;;;;;;;;;
C002398;MERCADINHO ACSA DIAS EIRELI (C002398);PADRAO;1;269926147;Brasil;SP;CACAPAVA;LOTEAMENTO PINUS DE IRIGUASSU II;RUA;PASTOR DANIEL BERG;;23;12289-205;55;;;55;;;mercadinhopinus@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C003079;DU DISTRIBUIDORA DE DOCES LTDA (C003079);PADRAO;1;269926142;Brasil;SP;CAMPINAS;SAO BERNARDO;AV;AMOREIRAS  DAS;;1804;13031-435;55;;;55;;;-;;;;;;;;;;;;;;;;;;;;;
C001879;MAESF SUPERMERCADO LTDA - ME (C001879);PADRAO;1;269926195;Brasil;SP;POA;JARDIM AMERICA;RUA;BOLIVIA;;98;08555-610;55;;;55;;;supermercado.compras@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C004121;SODEXO DO BRASIL COMERCIAL S.A (C004121);SODEXHO;1;269926197;Brasil;RJ;RIO DE JANEIRO;BARRA DA TIJUCA;AVENIDA;PAISAGISTA JOSE SILVA DE AZEVEDO NETO;;200;22.775-056;55;;;55;;;legalizacoes.fms.br@sodexo.com;;;;;;;;;;;;;;;;;;;;;
C002163;HASHI EXPRESS CENTER VALE LTDA (C002163);RESTAURANTE;1;269926148;Brasil;SP;SAO JOSE DOS CAMPOS;JARDIM OSWALDO CRUZ;AVENIDA;DEPUTADO BENEDITO MATARAZZO;;9403;12216-580;55;;;55;;;sandra@duartefranca.com.br;;;;;;;;;;;;;;;;;;;;;
C002243;GUSTAVO PINHEIRO DA ROCHA 37740514888 (C002243);PADRAO;1;269926149;Brasil;SP;SAO PAULO;QUARTA PARADA;RUA;LIMONITA;;60;03177-110;55;;;55;;;restaurantepizzarialimonita@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C002275;ANTONIO CARLOS LOPES TEIXEIRA DE COMERCIO DE ALIMENTOS E BEBIDAS (C002275);PADRAO;1;269926150;Brasil;SP;SAO PAULO;CARANDIRU;AVENIDA;GENERAL ATALIBA LEONEL;;1926;02033-020;55;;;55;;;comercial.antonioteixeira@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C002594;SUPERMERCADO BOSQUE GUARAIUVA LTDA (C002594);VAREJO PEQUENO;1;269926151;Brasil;SP;VARGEM;GUARAIUVA;EST;ENTRE SERRAS E AGUAS;;SN;12935-000;55;;;55;;;sup.guaraiuva@gmail.com;;;;;;;;;;;;;;;;;;;;;
C000074;COMPANHIA BRASILEIRA DE DISTRIBUICAO (C000074);GPA  SP;1;269926208;Brasil;SP;São Sebastião;CENTRO;AVENIDA;GUARDA MOR L VIANA;;642;11600-000;55;;;55;;;paralegal@grupopaodeacucar.com.br;;;;;;;;;;;;;;;;;;;;;
C001759;TENDA ATACADO SA (C001759);TENDA;1;269926152;Brasil;SP;FERRAZ DE VASCONCELOS;PARQUE DOURADO;AVENIDA;GOVERNADOR JANIO QUADROS;;51;08.527-000;55;;;55;;;nfe@tendaatacado.com.br;;;;;;;;;;;;;;;;;;;;;
C002426;FARMINA PET FOODS BRASIL LTDA (C002426);SUBPRODUTO;1;269926153;Brasil;SP;Bragança Paulista;AGUA COMPRIDA;RUA;ARMELINA PEREIRA DE SOUZA;;479;12915-542;55;;;55;;;nfe@farmina.com.br;;;;;;;;;;;;;;;;;;;;;
C002925;COOP - COOPERATIVA DE CONSUMO (C002925);COOP;1;269926154;Brasil;SP;SANTO ANDRE;CAMPESTRE;RUA;CONS JUSTINO;;56;09070-580;55;;;55;;;nfe@coopsp.coop.br;;;;;;;;;;;;;;;;;;;;;
C002405;CORDOBA DISTRIBUIDORA E MERCADO EIRELI (C002405);PADRAO;1;269926155;Brasil;RJ;PARATY;FATIMA;RUA;JOSE VIEIRA RAMOS;;249;23970-000;55;;;55;;;contato@granjaparatycordoba.com;;;;;;;;;;;;;;;;;;;;;
C002500;JPGF COZINHA INDUSTRIAL LTDA (C002500);COZINHA;1;269926156;Brasil;SP;São José dos Campos;JARDIM SANTA MADALENA;TRAVESSA;SANTA INES;;160;12243-290;55;;;55;;;gerencia@albadah.com.br;;;;;;;;;;;;;;;;;;;;;
C002516;DISTRIBUIDORA COMERCIAL SUMMER EIRELI (C002516);REDE GRAND MARCHE;1;269926157;Brasil;RJ;MARICA;BARROCO (ITAIPUACU);AV;CARLOS MARIGHELLA;;7974;24936-435;55;;;55;;;nfe@summersupermercados.com.br;;;;;;;;;;;;;;;;;;;;;
C002519;MERCADINHO SERRA A VISTA TAUBATE LTDA ME (C002519);PADRAO;1;269926158;Brasil;SP;TAUBATE;QUIRIRIM;RUA;CORONEL ESDRAS EVILMERODACH DE OLIVEIRA;;57;12043-430;55;;;55;;;MERCADINHOSERRAAVISTA@HOTMAIL.COM;;;;;;;;;;;;;;;;;;;;;
C002570;JAPONES ALIMENTOS EIRELI (C002570);PADRAO;1;269926159;Brasil;RJ;BARRA MANSA;COLONIA SANTO ANTONIO;ESTRADA;GOV CHAGAS FREITAS;;2793;27351-720;55;;;55;;;priscilalandimaono@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C002927;CASA BARROS ALIMENTOS EIRELI (C002927);VAREJO PEQUENO;1;269926160;Brasil;RJ;Cabo Frio;JARDIM ESPERANCA;ESTRADA;CABO FRIO - BUZIOS;;90;28922-270;55;;;55;;;xml@casabarrosalimentos.com.br;;;;;;;;;;;;;;;;;;;;;
C003111;V. MOREIRA COMERCIO DE ALIMENTOS LTDA (C003111);PADRAO;1;269926161;Brasil;SP;CAMPINAS;JARDIM ANDORINHAS;AVENIDA;DAS ANDORINHAS;;245;13101-400;55;;;55;;;xmlsupermercadomoreira@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C002934;SUPERMERCADO LUCAELIFER LTDA  EPP (C002934);PADRAO;1;269926162;Brasil;SP;PIRACICABA;J CAXAMBU;RUA;CARMINE TESTA;;263;13425-062;55;;;55;;;nfe.lucaelifer@gmail.com;;;;;;;;;;;;;;;;;;;;;
C003323;SUPERMERCADO MAKTUB DE SUZANO LTDA (C003323);MAKTUB;1;269926163;Brasil;SP;SUZANO;JARDIM JAPAO;AV;ARMANDO SALES DE OLIVEIRA;;290;08673-000;55;;;55;;;NFE3@SUPERMAKTUB.COM.BR;;;;;;;;;;;;;;;;;;;;;
C003547;PONTE PRETA FUTEBOL CLUBE DE JACAREHY (C003547);PADRAO;1;269926164;Brasil;SP;JACAREI;JARDIM SANTA MARIA;AVENIDA;ANTONIO ALVES C ROSA;;344;12315-310;55;;;55;;;;;;;;;;;;;;;;;;;;;;;;
C004538;MINIMERCADO LIDER DE MANGARATIBA LTDA (C004538);REDE POUP MARKET;1;269926165;Brasil;RJ;Mangaratiba;IBICUI;ESTRADA;MT;;190;23860-000;55;;;55;;;grupoliderrj@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004546;RF MERCADO DO CAMPO ALIMENTOS LTDA (C004546);REDE POUP MARKET;1;269926166;Brasil;RJ;Itaguaí;BRISA MAR;RUA;ARGENTINA DA SILVA COUTINHO;;S/N;23825-210;55;;;55;;;mercadodocampo21@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004194;COMERCIAL ZARAGOZA IMPORTACAO E EXPORTACAO LIMITADA (C004194);ZARAGOZA;1;269926167;Brasil;SP;Hortolândia;JARDIM NOVA EUROPA;AVENIDA;CARLOS ROBERTO PRATAVIERA;;650;13184-889;55;;;55;;;nfse@spani.com.br;;;;;;;;;;;;;;;;;;;;;
C004253;PATRICIA PINHEIRO MINIMERCADO  ME (C004253);PADRAO;1;269926168;Brasil;SP;SAO JOSE DOS CAMPOS;VILA IRACEMA;RUA;MEDINA;;683;12228-131;55;;;55;;;PATRICIA_SJC1979@HOTMAIL.COM;;;;;;;;;;;;;;;;;;;;;
C004978;COMPANHIA BRASILEIRA DE DISTRIBUICAO (C004978);GPA  SP;1;269926180;Brasil;SP;São Vicente;CENTRO;AVENIDA;PRESIDENTE WILSON;;178;11320-000;55;;;55;;;paralegal@grupopaodeacucar.com.br;;;;;;;;;;;;;;;;;;;;;
C004988;COMPANHIA BRASILEIRA DE DISTRIBUICAO (C004988);GPA  SP;1;269926181;Brasil;SP;Cubatão;J CASQUEIR;AVENIDA;BRASIL;;170;11533-000;55;;;55;;;paralegal@grupopaodeacucar.com.br;;;;;;;;;;;;;;;;;;;;;
C004993;COMPANHIA BRASILEIRA DE DISTRIBUICAO (C004993);GPA  SP;1;269926182;Brasil;SP;Santos;APARECIDA;AVENIDA;PEDRO LESSA;;768;11025-000;55;;;55;;;paralegal@grupopaodeacucar.com.br;;;;;;;;;;;;;;;;;;;;;
C005024;HOTELARIA ACCORINVEST BRASIL S.A (C005024);RESTAURANTE;1;269926183;Brasil;SP;São José dos Campos;JARDIM SAO DIMAS;AVENIDA;DOUTOR NELSON D'AVILA;;2200;12245-031;55;;;55;;;h0472-pu@accor.com;;;;;;;;;;;;;;;;;;;;;
C004359;VALDEMIR PEREIRA DE ARAUJO E CIA LTDA  ME (C004359);PADRAO;1;269926169;Brasil;SP;ITU;;RUA;PROFESSORA IGNEZ RIBEIRO LEPSCK;;215;13312-762;55;;;55;;;compras.paranapotiguara@gmail.com;;;;;;;;;;;;;;;;;;;;;
C003720;HIDROLABOR LABORATORIO DE CONTROLE DE QUALIDADE LTDA (C003720);PADRAO;1;269926170;Brasil;SP;SOROCABA;JARDIM AMERICA;RUA;COMENDADOR ABILIO SOARES;;200;18.046-690;55;;;55;;;comercial@hidrolabor.com.br;;;;;;;;;;;;;;;;;;;;;
C002452;JABAQUYL COMERCIO E DISTRIBUICAO DE ALIMENTOS EIRELI (C002452);PADRAO;1;269926171;Brasil;SP;SAO PAULO;SAUDE;AVENIDA;BOSQUE DA SAUDE;;898;04142-081;55;;;55;;;comercialbosquedasaude@ig.com;;;;;;;;;;;;;;;;;;;;;
C002471;PRISLEAN MINIMERCADO EIRELI (C002471);PADRAO;1;269926172;Brasil;SP;HORTOLANDIA;JARDIN NOVA HORTOLAN;RUA;FRANCISCO JOÃO CARDOSO;;45;13183-282;55;;;55;;;;;;;;;;;;;;;;;;;;;;;;
C004637;ROLDAO AUTO SERVICO COMERCIO DE ALIMENTOS S/A (C004637);ROLDAO;1;269926175;Brasil;SP;São Paulo;VILA ALMEIDA;AVENIDA;DAS NACOES UNIDAS;;22613;04795-100;55;;;55;;;roldao@terra.com.br;;;;;;;;;;;;;;;;;;;;;Roldão
C002874;JOYCE MONICA VIEIRA (C002874);PADRAO;1;269926173;Brasil;SP;SAO JOSE DOS CAMPOS;JARDIM ALTOS DE SANTANA;RUA;SERRA DE SANTA BARBARA;;170;12214-220;55;;;55;;;joyce.vieira@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C004547;MERCADO FENIX FRONTAL DAS ILHAS EIRELI (C004547);REDE POUP MARKET;1;269926174;Brasil;RJ;Itaguaí;COROA GRANDE;AVENIDA;GOVERNADOR AMARAL PEIXOTO;;15;23826-400;55;;;55;;;financeiromercadofenix@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004669;ROLDAO AUTO SERVICO COMERCIO DE ALIMENTOS S/A (C004669);ROLDAO;1;269926176;Brasil;SP;Guarulhos;GUARULHOS;ESTRADA;PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA;;S/N;07272-345;55;;;55;;;sac@roldao.com.br;;;;;;;;;;;;;;;;;;;;;Roldão
C004724;VARGAS INDUSTRIA E COMERCIO DE ALIMENTOS LTDA (C004724);SUBPRODUTO;1;269926177;Brasil;MT;Primavera do Leste;DISTRITO INDUSTRIAL II;AVENIDA;A;;760;78850-000;55;;;55;;;financeiro@voroberto.com.br;;;;;;;;;;;;;;;;;;;;;
C004803;BLUE ALIMENTOS E SERVICOS LTDA (C004803);COZINHA;1;269926178;Brasil;RJ;São Gonçalo;ANTONINA;RUA;MONSENHOR ROCHA;;31;24450-180;55;;;55;;;blue.alimentosnutri@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004974;COMPANHIA BRASILEIRA DE DISTRIBUICAO (C004974);GPA  SP;1;269926179;Brasil;SP;Santos;APARECIDA;AVENIDA;DOUTOR PEDRO LESSA;;1801;11025-033;55;;;55;;;paralegal@grupopaodeacucar.com.br;;;;;;;;;;;;;;;;;;;;;
C004670;WILLIAM LUIS FERRETTI (C004670);SUBPRODUTO;1;269926189;Brasil;SP;Atibaia;BOA VISTA;ESTRADA;DA BOA VISTA;;S/N;12954-094;55;;;55;;;beraldocontabil@bjpnet.com.br;;;;;;;;;;;;;;;;;;;;;
C004711;POINT 34 BAZAR E ALIMENTOS LTDA (C004711);VAREJO PEQUENO;1;269926190;Brasil;RJ;Maricá;JARDIM ATLANTICO CENTRAL;RUA;VAN LERBERGUE;;5845;24934-270;55;;;55;;;mercapopoint34@gmail.com;;;;;;;;;;;;;;;;;;;;;
C005066;SENDAS DISTRIBUIDORA S/A (C005066);ASSAI  SP;1;269926184;Brasil;SP;CAMPINAS;PARQUE DOS RESEDAS;AVENIDA;PARQUE DOS RESEDAS;;100;13097-152;55;;;55;;;nfe@assai.com.br;;;;;;;;;;;;;;;;;;;;;Assai Atacado SP
C004659;ROLDAO AUTO SERVICO COMERCIO DE ALIMENTOS S/A (C004659);ROLDAO;1;269926188;Brasil;SP;São Paulo;VILA JOAO BATISTA;AVENIDA;DOMINGOS VEGA;;47;02837-000;55;;;55;;;roldao@terra.com.br;;;;;;;;;;;;;;;;;;;;;Roldão
C005115;SENDAS DISTRIBUIDORA S/A (C005115);ASSAI  SP;1;269926185;Brasil;SP;RIBEIRÃO PRETO;JARDIM IRAJA;AVENIDA;PRESIDENTE VARGAS;;1617;14020-277;55;;;55;;;nfe@assai.com.br;;;;;;;;;;;;;;;;;;;;;
C004566;FGC COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI (C004566);REDE POUP MARKET;1;269926186;Brasil;RJ;Rio de Janeiro;CAMPO GRANDE;RUA;CARLOS DELGADO DE CARVALHO;;187;23088-410;55;;;55;;;mercadofgc@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004590;NEW AGE MARKET EIRELI (C004590);SUPER COMPRAS;1;269926187;Brasil;RJ;Belford Roxo;XAVANTES;RUA;FELIPE ANTONIO LOPES PINTO;;360;26125-063;55;;;55;;;caioantunesmendes@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004729;DISTRIBUIDORA DE ALIMENTOS TURIAÇU LTDA (C004729);DISTRIBUIDOR;1;269926191;Brasil;RJ;Rio de Janeiro;TURIACU;ESTRADA;DO OTAVIANO;;267;21540-010;55;;;55;;;renanvascao12@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004815;MAX FAST ALIMENTACAO LTDA (C004815);RESTAURANTE;1;269926192;Brasil;MG;Extrema;DOS PIRES;ESTRADA MUNICIPAL;THEREZA THOMAZELLA;;432;37640-000;55;;;55;;;valeriafarialima@gmail.com;;;;;;;;;;;;;;;;;;;;;
C004958;MAURICIO DE ALMEIDA SOUZA (C004958);RESTAURANTE;1;269926193;Brasil;SP;Jacareí;CENTRO;RUA;ALFREDO SCHURIG;;238;12327-005;55;;;55;;;maualsouza@ig.com.br;;;;;;;;;;;;;;;;;;;;;
C001265;VALERIA A CALDERARO EPP (C001265);PADRAO;1;269926194;Brasil;SP;TAUBATE;PARQUE SENHOR DO BOM;RUA;DOUTOR JOAO BAPTISTA ORTIZ MONTEIRO;;519;12040-250;55;;;55;;;VALERIAACALDERARONF@BOL.COM.BR;;;;;;;;;;;;;;;;;;;;;
C002721;SAMMY COMERCIAL LTDA (C002721);PADRAO;1;269926200;Brasil;SP;SAO BERNARDO DO CAMPO;PAULICEIA;RUA;CASPER LIBERO;;960;09691-300;55;;;55;;;sammy@sammycomercial.com.br;;;;;;;;;;;;;;;;;;;;;
C004429;2WL LOGISTICA E TRANSPORTE LTDA (C004429);OUTROS;1;269926198;Brasil;SP;Caçapava;RESIDENCIAL ESPERANCA;RUA;DURVALINA COSTA DA SILVA;;658;12285-405;55;;;55;;;rwl.transporte@gmail.com;;;;;;;;;;;;;;;;;;;;;
C002591;MTX COMERCIO DE GENEROS ALIMENTICIOS LTDA (C002591);PADRAO;1;269926199;Brasil;SP;JUQUITIBA;CENTRO;RUA;SEBASTIAO GREGORINI;;36;06950-000;55;;;55;;;xmlloja5@grupotanaka.com.br;;;;;;;;;;;;;;;;;;;;;
C003246;IGREJA CRISTA MUNDIAL (C003246);PADRAO;1;269926202;Brasil;SP;MOGI DAS CRUZES;CENTRO;RUA;TENENTE MANOEL ALVES DOS ANJOS;;222;08710-680;55;;;55;;;franicm@hotmail.com;;;;;;;;;;;;;;;;;;;;;
C002586;MERCADINHO AIURUOCA LTDA (C002586);PADRAO;1;269926212;Brasil;SP;ILHA BELA;PEREQUE;AV;PRINCESA ISABEL;;1673;11.633-000;55;;;55;;;baepi.express@gmail.com;;;;;;;;;;;;;;;;;;;;;
C001194;RF REFEICOES COLETIVAS EIRELI (C001194);COZINHA;1;269926201;Brasil;SP;São José dos Campos;PARQUE INDUSTRIAL;AVENIDA;FORTALEZA;;57;12235-560;55;;;55;;;contato@domrubi.com.br;;;;;;;;;;;;;;;;;;;;;
